locality,decimalLatitude,decimalLongitude
Long Beach,49.0689,-125.7538
Salmon Beach,48.9596,-125.4342
China Beach,48.427,-124.0789
Bamfield,48.8333,-125.1428
PortRenfrew,48.553,-124.4223
ElfinCove,58.1944,-136.3433
Refugio Beach,34.460525,-120.074125
Hazard Reef,35.289806,-120.883968
Vista Del Mar,35.604713,-121.143064
Walk on Beach,38.731386,-123.489816
Bodega Head,38.304079,-123.053742
Davenport Landing,37.010501,-122.199563
White Point,33.716127,-118.319394
La Jolla,32.847464,-117.277691
Carpinteria,34.387257,-119.513572